#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Aug 14 15:03:07 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       bpm_x_map.ncd
#OUTPUT FILE:      bpm_x_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -4
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,GND,,,,,,,,,,,,
P2,n_RS232_RX,IOB,IO_L01P_7/VRN_7,INPUT,LVCMOS33,7,,,,NONE,,LOCATED,NO,NONE,
P3,n_RS232_TX,IOB,IO_L01N_7/VRP_7,OUTPUT,LVCMOS33,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P4,Qspi_DOut,IOB,IO_L16P_7/VREF_7,OUTPUT,LVCMOS33,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P5,Qspi_DIn,IOB,IO_L16N_7,INPUT,LVCMOS33,7,,,PULLDOWN,IFD,,LOCATED,YES,NONE,
P6,,,VCCO_7,,,7,,,,,3.30,,,,
P7,n_QSPI_CS<0>,IOB,IO_L19P_7,INPUT,LVCMOS33,7,,,PULLUP,NONE,,LOCATED,NO,NONE,
P8,,,GND,,,,,,,,,,,,
P9,n_QSPI_CS<1>,IOB,IO_L19N_7/VREF_7,INPUT,LVCMOS33,7,,,PULLUP,NONE,,LOCATED,NO,NONE,
P10,Trig_reset,IOB,IO_L20P_7,INPUT,LVCMOS33,7,,,PULLUP,NONE,,LOCATED,YES,NONE,
